id,name,slug,generation,region,type,type2,tier,assigned_move,assigned_move_type,assignment_reason,sfx_file,sfx_bytes,source_move_file
233,Porygon2,porygon2,2,Johto,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-2-johto/0233_porygon2__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
234,Stantler,stantler,2,Johto,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-2-johto/0234_stantler__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
235,Smeargle,smeargle,2,Johto,normal,,1,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-2-johto/0235_smeargle__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
236,Tyrogue,tyrogue,2,Johto,fighting,,2,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-2-johto/0236_tyrogue__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
237,Hitmontop,hitmontop,2,Johto,fighting,,3,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-2-johto/0237_hitmontop__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
238,Smoochum,smoochum,2,Johto,ice,psychic,1,Blizzard,ice,type-preferred:ice,pokemon-sfx-by-species/gen-2-johto/0238_smoochum__blizzard.ogg,2811,attack-move-sfx-compressed/ice/blizzard.ogg
239,Elekid,elekid,2,Johto,electric,,1,Catastropika,electric,type-preferred:electric,pokemon-sfx-by-species/gen-2-johto/0239_elekid__catastropika.ogg,3043,attack-move-sfx-compressed/electric/catastropika.ogg
240,Magby,magby,2,Johto,fire,,1,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-2-johto/0240_magby__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
241,Miltank,miltank,2,Johto,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-2-johto/0241_miltank__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
242,Blissey,blissey,2,Johto,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-2-johto/0242_blissey__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
243,Raikou,raikou,2,Johto,electric,,4,Catastropika,electric,type-preferred:electric,pokemon-sfx-by-species/gen-2-johto/0243_raikou__catastropika.ogg,3043,attack-move-sfx-compressed/electric/catastropika.ogg
244,Entei,entei,2,Johto,fire,,4,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-2-johto/0244_entei__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
245,Suicune,suicune,2,Johto,water,,4,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-2-johto/0245_suicune__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
246,Larvitar,larvitar,2,Johto,rock,ground,1,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-2-johto/0246_larvitar__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
247,Pupitar,pupitar,2,Johto,rock,ground,1,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-2-johto/0247_pupitar__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
248,Tyranitar,tyranitar,2,Johto,rock,dark,3,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-2-johto/0248_tyranitar__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
249,Lugia,lugia,2,Johto,psychic,flying,4,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-2-johto/0249_lugia__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
250,Ho-Oh,ho-oh,2,Johto,fire,flying,4,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-2-johto/0250_ho-oh__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
251,Celebi,celebi,2,Johto,psychic,grass,4,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-2-johto/0251_celebi__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
252,Treecko,treecko,3,Hoenn,grass,,1,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-3-hoenn/0252_treecko__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
253,Grovyle,grovyle,3,Hoenn,grass,,2,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-3-hoenn/0253_grovyle__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
254,Sceptile,sceptile,3,Hoenn,grass,,3,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-3-hoenn/0254_sceptile__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
255,Torchic,torchic,3,Hoenn,fire,,1,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-3-hoenn/0255_torchic__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
256,Combusken,combusken,3,Hoenn,fire,fighting,2,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-3-hoenn/0256_combusken__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
257,Blaziken,blaziken,3,Hoenn,fire,fighting,3,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-3-hoenn/0257_blaziken__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
258,Mudkip,mudkip,3,Hoenn,water,,1,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0258_mudkip__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
259,Marshtomp,marshtomp,3,Hoenn,water,ground,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0259_marshtomp__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
260,Swampert,swampert,3,Hoenn,water,ground,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0260_swampert__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
261,Poochyena,poochyena,3,Hoenn,dark,,2,Dark Pulse,dark,type-preferred:dark,pokemon-sfx-by-species/gen-3-hoenn/0261_poochyena__dark-pulse.ogg,2795,attack-move-sfx-compressed/dark/dark-pulse.ogg
262,Mightyena,mightyena,3,Hoenn,dark,,3,Dark Pulse,dark,type-preferred:dark,pokemon-sfx-by-species/gen-3-hoenn/0262_mightyena__dark-pulse.ogg,2795,attack-move-sfx-compressed/dark/dark-pulse.ogg
263,Zigzagoon,zigzagoon,3,Hoenn,normal,,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0263_zigzagoon__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
264,Linoone,linoone,3,Hoenn,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0264_linoone__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
265,Wurmple,wurmple,3,Hoenn,bug,,1,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0265_wurmple__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
266,Silcoon,silcoon,3,Hoenn,bug,,2,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0266_silcoon__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
267,Beautifly,beautifly,3,Hoenn,bug,flying,3,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0267_beautifly__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
268,Cascoon,cascoon,3,Hoenn,bug,,2,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0268_cascoon__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
269,Dustox,dustox,3,Hoenn,bug,poison,3,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0269_dustox__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
270,Lotad,lotad,3,Hoenn,water,grass,1,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0270_lotad__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
271,Lombre,lombre,3,Hoenn,water,grass,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0271_lombre__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
272,Ludicolo,ludicolo,3,Hoenn,water,grass,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0272_ludicolo__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
273,Seedot,seedot,3,Hoenn,grass,,1,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-3-hoenn/0273_seedot__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
274,Nuzleaf,nuzleaf,3,Hoenn,grass,dark,2,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-3-hoenn/0274_nuzleaf__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
275,Shiftry,shiftry,3,Hoenn,grass,dark,3,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-3-hoenn/0275_shiftry__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
276,Taillow,taillow,3,Hoenn,normal,flying,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0276_taillow__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
277,Swellow,swellow,3,Hoenn,normal,flying,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0277_swellow__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
278,Wingull,wingull,3,Hoenn,water,flying,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0278_wingull__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
279,Pelipper,pelipper,3,Hoenn,water,flying,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0279_pelipper__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
280,Ralts,ralts,3,Hoenn,psychic,fairy,1,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-3-hoenn/0280_ralts__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
281,Kirlia,kirlia,3,Hoenn,psychic,fairy,2,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-3-hoenn/0281_kirlia__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
282,Gardevoir,gardevoir,3,Hoenn,psychic,fairy,3,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-3-hoenn/0282_gardevoir__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
283,Surskit,surskit,3,Hoenn,bug,water,2,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0283_surskit__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
284,Masquerain,masquerain,3,Hoenn,bug,flying,3,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0284_masquerain__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
285,Shroomish,shroomish,3,Hoenn,grass,,2,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-3-hoenn/0285_shroomish__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
286,Breloom,breloom,3,Hoenn,grass,fighting,3,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-3-hoenn/0286_breloom__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
287,Slakoth,slakoth,3,Hoenn,normal,,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0287_slakoth__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
288,Vigoroth,vigoroth,3,Hoenn,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0288_vigoroth__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
289,Slaking,slaking,3,Hoenn,normal,,1,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0289_slaking__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
290,Nincada,nincada,3,Hoenn,bug,ground,2,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0290_nincada__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
291,Ninjask,ninjask,3,Hoenn,bug,flying,3,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0291_ninjask__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
292,Shedinja,shedinja,3,Hoenn,bug,ghost,3,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0292_shedinja__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
293,Whismur,whismur,3,Hoenn,normal,,1,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0293_whismur__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
294,Loudred,loudred,3,Hoenn,normal,,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0294_loudred__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
295,Exploud,exploud,3,Hoenn,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0295_exploud__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
296,Makuhita,makuhita,3,Hoenn,fighting,,2,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-3-hoenn/0296_makuhita__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
297,Hariyama,hariyama,3,Hoenn,fighting,,3,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-3-hoenn/0297_hariyama__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
298,Azurill,azurill,3,Hoenn,normal,fairy,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0298_azurill__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
299,Nosepass,nosepass,3,Hoenn,rock,,3,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-3-hoenn/0299_nosepass__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
300,Skitty,skitty,3,Hoenn,normal,,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0300_skitty__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
301,Delcatty,delcatty,3,Hoenn,normal,,3,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0301_delcatty__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
302,Sableye,sableye,3,Hoenn,dark,ghost,2,Dark Pulse,dark,type-preferred:dark,pokemon-sfx-by-species/gen-3-hoenn/0302_sableye__dark-pulse.ogg,2795,attack-move-sfx-compressed/dark/dark-pulse.ogg
303,Mawile,mawile,3,Hoenn,steel,fairy,3,Flash Cannon,steel,type-preferred:steel,pokemon-sfx-by-species/gen-3-hoenn/0303_mawile__flash-cannon.ogg,2764,attack-move-sfx-compressed/steel/flash-cannon.ogg
304,Aron,aron,3,Hoenn,steel,rock,1,Flash Cannon,steel,type-preferred:steel,pokemon-sfx-by-species/gen-3-hoenn/0304_aron__flash-cannon.ogg,2764,attack-move-sfx-compressed/steel/flash-cannon.ogg
305,Lairon,lairon,3,Hoenn,steel,rock,2,Flash Cannon,steel,type-preferred:steel,pokemon-sfx-by-species/gen-3-hoenn/0305_lairon__flash-cannon.ogg,2764,attack-move-sfx-compressed/steel/flash-cannon.ogg
306,Aggron,aggron,3,Hoenn,steel,rock,3,Flash Cannon,steel,type-preferred:steel,pokemon-sfx-by-species/gen-3-hoenn/0306_aggron__flash-cannon.ogg,2764,attack-move-sfx-compressed/steel/flash-cannon.ogg
307,Meditite,meditite,3,Hoenn,fighting,psychic,2,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-3-hoenn/0307_meditite__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
308,Medicham,medicham,3,Hoenn,fighting,psychic,3,Close Combat,fighting,type-preferred:fighting,pokemon-sfx-by-species/gen-3-hoenn/0308_medicham__close-combat.ogg,2821,attack-move-sfx-compressed/fighting/close-combat.ogg
309,Electrike,electrike,3,Hoenn,electric,,2,Catastropika,electric,type-preferred:electric,pokemon-sfx-by-species/gen-3-hoenn/0309_electrike__catastropika.ogg,3043,attack-move-sfx-compressed/electric/catastropika.ogg
310,Manectric,manectric,3,Hoenn,electric,,3,Catastropika,electric,type-preferred:electric,pokemon-sfx-by-species/gen-3-hoenn/0310_manectric__catastropika.ogg,3043,attack-move-sfx-compressed/electric/catastropika.ogg
311,Plusle,plusle,3,Hoenn,electric,,2,Catastropika,electric,type-preferred:electric,pokemon-sfx-by-species/gen-3-hoenn/0311_plusle__catastropika.ogg,3043,attack-move-sfx-compressed/electric/catastropika.ogg
312,Minun,minun,3,Hoenn,electric,,3,Catastropika,electric,type-preferred:electric,pokemon-sfx-by-species/gen-3-hoenn/0312_minun__catastropika.ogg,3043,attack-move-sfx-compressed/electric/catastropika.ogg
313,Volbeat,volbeat,3,Hoenn,bug,,2,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0313_volbeat__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
314,Illumise,illumise,3,Hoenn,bug,,3,Bug Buzz,bug,type-preferred:bug,pokemon-sfx-by-species/gen-3-hoenn/0314_illumise__bug-buzz.ogg,2806,attack-move-sfx-compressed/bug/bug-buzz.ogg
315,Roselia,roselia,3,Hoenn,grass,poison,1,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-3-hoenn/0315_roselia__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
316,Gulpin,gulpin,3,Hoenn,poison,,2,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-3-hoenn/0316_gulpin__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
317,Swalot,swalot,3,Hoenn,poison,,3,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-3-hoenn/0317_swalot__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
318,Carvanha,carvanha,3,Hoenn,water,dark,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0318_carvanha__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
319,Sharpedo,sharpedo,3,Hoenn,water,dark,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0319_sharpedo__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
320,Wailmer,wailmer,3,Hoenn,water,,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0320_wailmer__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
321,Wailord,wailord,3,Hoenn,water,,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0321_wailord__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
322,Numel,numel,3,Hoenn,fire,ground,2,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-3-hoenn/0322_numel__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
323,Camerupt,camerupt,3,Hoenn,fire,ground,3,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-3-hoenn/0323_camerupt__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
324,Torkoal,torkoal,3,Hoenn,fire,,1,Blast Burn,fire,type-preferred:fire,pokemon-sfx-by-species/gen-3-hoenn/0324_torkoal__blast-burn.ogg,2728,attack-move-sfx-compressed/fire/blast-burn.ogg
325,Spoink,spoink,3,Hoenn,psychic,,2,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-3-hoenn/0325_spoink__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
326,Grumpig,grumpig,3,Hoenn,psychic,,3,Psystrike,psychic,type-preferred:psychic,pokemon-sfx-by-species/gen-3-hoenn/0326_grumpig__psystrike.ogg,2807,attack-move-sfx-compressed/psychic/psystrike.ogg
327,Spinda,spinda,3,Hoenn,normal,,1,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0327_spinda__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
328,Trapinch,trapinch,3,Hoenn,ground,,3,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-3-hoenn/0328_trapinch__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
329,Vibrava,vibrava,3,Hoenn,ground,dragon,2,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-3-hoenn/0329_vibrava__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
330,Flygon,flygon,3,Hoenn,ground,dragon,3,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-3-hoenn/0330_flygon__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
331,Cacnea,cacnea,3,Hoenn,grass,,2,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-3-hoenn/0331_cacnea__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
332,Cacturne,cacturne,3,Hoenn,grass,dark,3,Frenzy Plant,grass,type-preferred:grass,pokemon-sfx-by-species/gen-3-hoenn/0332_cacturne__frenzy-plant.ogg,2724,attack-move-sfx-compressed/grass/frenzy-plant.ogg
333,Swablu,swablu,3,Hoenn,normal,flying,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0333_swablu__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
334,Altaria,altaria,3,Hoenn,dragon,flying,3,Draco Meteor,dragon,type-preferred:dragon,pokemon-sfx-by-species/gen-3-hoenn/0334_altaria__draco-meteor.ogg,2739,attack-move-sfx-compressed/dragon/draco-meteor.ogg
335,Zangoose,zangoose,3,Hoenn,normal,,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0335_zangoose__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
336,Seviper,seviper,3,Hoenn,poison,,3,Sludge Bomb,poison,type-preferred:poison,pokemon-sfx-by-species/gen-3-hoenn/0336_seviper__sludge-bomb.ogg,2794,attack-move-sfx-compressed/poison/sludge-bomb.ogg
337,Lunatone,lunatone,3,Hoenn,rock,psychic,2,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-3-hoenn/0337_lunatone__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
338,Solrock,solrock,3,Hoenn,rock,psychic,3,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-3-hoenn/0338_solrock__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
339,Barboach,barboach,3,Hoenn,water,ground,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0339_barboach__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
340,Whiscash,whiscash,3,Hoenn,water,ground,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0340_whiscash__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
341,Corphish,corphish,3,Hoenn,water,,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0341_corphish__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
342,Crawdaunt,crawdaunt,3,Hoenn,water,dark,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0342_crawdaunt__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
343,Baltoy,baltoy,3,Hoenn,ground,psychic,2,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-3-hoenn/0343_baltoy__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
344,Claydol,claydol,3,Hoenn,ground,psychic,3,Earthquake,ground,type-preferred:ground,pokemon-sfx-by-species/gen-3-hoenn/0344_claydol__earthquake.ogg,2774,attack-move-sfx-compressed/ground/earthquake.ogg
345,Lileep,lileep,3,Hoenn,rock,grass,2,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-3-hoenn/0345_lileep__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
346,Cradily,cradily,3,Hoenn,rock,grass,3,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-3-hoenn/0346_cradily__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
347,Anorith,anorith,3,Hoenn,rock,bug,2,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-3-hoenn/0347_anorith__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
348,Armaldo,armaldo,3,Hoenn,rock,bug,3,Stone Edge,rock,type-preferred:rock,pokemon-sfx-by-species/gen-3-hoenn/0348_armaldo__stone-edge.ogg,2756,attack-move-sfx-compressed/rock/stone-edge.ogg
349,Feebas,feebas,3,Hoenn,water,,2,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0349_feebas__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
350,Milotic,milotic,3,Hoenn,water,,3,Hydro Pump,water,type-preferred:water,pokemon-sfx-by-species/gen-3-hoenn/0350_milotic__hydro-pump.ogg,2966,attack-move-sfx-compressed/water/hydro-pump.ogg
351,Castform,castform,3,Hoenn,normal,,2,Hyper Beam,normal,type-preferred:normal,pokemon-sfx-by-species/gen-3-hoenn/0351_castform__hyper-beam.ogg,2840,attack-move-sfx-compressed/normal/hyper-beam.ogg
